City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Puri,IN,2022-03-13 03:25:40,19.8,85.85,79.32,44,13,10.11
100,Waddan,LY,2022-03-13 03:25:40,29.1614,16.139,52.43,36,47,8.7
101,Hamilton,US,2022-03-13 03:22:54,39.1834,-84.5333,23.09,60,0,10.36
102,Tuatapere,NZ,2022-03-13 03:25:41,-46.1333,167.6833,67.71,50,0,4.99
103,Awbari,LY,2022-03-13 03:25:42,26.5921,12.7805,50.7,25,0,6.98
104,New Norfolk,AU,2022-03-13 03:25:42,-42.7826,147.0587,78.89,21,10,1.99
105,Srednekolymsk,RU,2022-03-13 03:25:43,67.45,153.6833,0.88,91,100,8.05
106,Butaritari,KI,2022-03-13 03:25:43,3.0707,172.7902,81.57,78,21,20.15
107,Kidal,ML,2022-03-13 03:25:44,18.4411,1.4078,70.72,13,0,7.67
108,Port Elizabeth,ZA,2022-03-13 03:25:44,-33.918,25.5701,71.89,83,0,29.93
109,Kununurra,AU,2022-03-13 03:25:27,-15.7667,128.7333,93.18,52,79,3.44
110,Yuzhno-Kurilsk,RU,2022-03-13 03:25:45,44.0306,145.8556,32.86,84,78,10.36
111,Tuktoyaktuk,CA,2022-03-13 03:25:45,69.4541,-133.0374,-14.8,76,100,14.97
112,Panaba,MX,2022-03-13 03:21:19,21.2833,-88.2667,70.11,79,100,17.45
113,Mitsamiouli,KM,2022-03-13 03:25:46,-11.3847,43.2844,75.49,78,20,5.75
114,Nanortalik,GL,2022-03-13 03:25:46,60.1432,-45.2371,14.02,69,100,31.68
115,Port Lincoln,AU,2022-03-13 03:25:47,-34.7333,135.8667,81.1,37,74,4.79
116,Kruisfontein,ZA,2022-03-13 03:25:47,-34.0033,24.7314,68.49,88,100,15.1
117,Pontes E Lacerda,BR,2022-03-13 03:25:48,-15.2261,-59.3353,70.11,98,99,3.04
118,Georgetown,MY,2022-03-13 03:25:48,5.4112,100.3354,89.53,79,20,4.61
119,Sola,VU,2022-03-13 03:25:49,-13.8833,167.55,79.47,89,40,0.0
120,Thompson,CA,2022-03-13 03:25:49,55.7435,-97.8558,1.56,78,20,6.91
121,Kieta,PG,2022-03-13 03:25:49,-6.2167,155.6333,85.86,57,59,4.65
122,Cockburn Town,TC,2022-03-13 03:25:50,21.4612,-71.1419,78.15,80,5,13.58
123,Leningradskiy,RU,2022-03-13 03:25:50,69.3833,178.4167,0.46,93,23,6.38
