City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
79,Arraial Do Cabo,-22.9661,-42.0278,75.7,92,100,10.47,BR,overcast clouds,2022-03-15 07:23:55
80,Gornyy,55.1153,83.9059,13.19,81,6,8.63,RU,clear sky,2022-03-15 07:23:55
81,Miramar,25.9873,-80.2323,73.02,88,100,16.11,US,overcast clouds,2022-03-15 07:23:56
82,Srednekolymsk,67.45,153.6833,-6.83,96,27,0.67,RU,scattered clouds,2022-03-15 07:23:56
83,Abu Kamal,34.4506,40.9171,47.86,41,34,8.88,SY,scattered clouds,2022-03-15 07:23:57
84,Albany,42.6001,-73.9662,41.41,71,100,3.98,US,overcast clouds,2022-03-15 07:23:57
85,Fairbanks,64.8378,-147.7164,-6.92,65,75,4.61,US,broken clouds,2022-03-15 07:20:02
86,Powassan,46.0334,-79.3496,16.66,100,100,2.21,CA,overcast clouds,2022-03-15 07:23:57
87,Kavaratti,10.5669,72.642,83.44,70,63,4.34,IN,broken clouds,2022-03-15 07:23:58
88,Potiskum,11.7091,11.0694,75.31,21,0,15.82,NG,clear sky,2022-03-15 07:23:58
89,Mehamn,71.0357,27.8492,39.15,70,75,13.8,NO,broken clouds,2022-03-15 07:23:59
90,Parabel,58.6978,81.4825,8.74,84,41,1.77,RU,scattered clouds,2022-03-15 07:23:59
91,Kenai,60.5544,-151.2583,20.03,85,0,4.61,US,clear sky,2022-03-15 07:23:59
92,Barcelona,41.3888,2.159,59.79,83,75,25.32,ES,light intensity drizzle,2022-03-15 07:24:00
93,Ponta Do Sol,32.6667,-17.1,59.63,72,69,14.47,PT,broken clouds,2022-03-15 07:24:00
94,Coihaique,-45.5752,-72.0662,53.55,82,0,4.61,CL,clear sky,2022-03-15 07:23:31
95,Rawson,-43.3002,-65.1023,65.64,56,8,12.1,AR,clear sky,2022-03-15 07:24:01
96,Iqaluit,63.7506,-68.5145,-14.31,62,75,8.05,CA,broken clouds,2022-03-15 07:24:01
97,Tezu,27.9167,96.1667,98.62,10,4,4.61,IN,clear sky,2022-03-15 07:24:02
98,Mataura,-46.1927,168.8643,50.49,83,100,5.23,NZ,overcast clouds,2022-03-15 07:24:02
99,Parbhani,19.2667,76.7833,97.83,11,7,8.63,IN,clear sky,2022-03-15 07:24:02
100,Nakhon Phanom,17.3333,104.4167,93.0,27,94,5.99,TH,overcast clouds,2022-03-15 07:24:03
101,Angoram,-4.0625,144.0661,85.26,68,100,6.44,PG,overcast clouds,2022-03-15 07:24:04
102,Ketchikan,55.3422,-131.6461,42.78,99,100,4.12,US,moderate rain,2022-03-15 07:24:04
103,Umm Lajj,25.0213,37.2685,67.33,53,0,17.76,SA,clear sky,2022-03-15 07:24:04
104,Tasiilaq,65.6145,-37.6368,30.36,96,100,23.29,GL,snow,2022-03-15 07:24:05
105,Salisbury,51.0693,-1.7957,43.47,100,0,6.91,GB,fog,2022-03-15 07:24:05
106,Nanortalik,60.1432,-45.2371,6.8,75,100,19.73,GL,light snow,2022-03-15 07:24:05
107,Mitsamiouli,-11.3847,43.2844,88.09,66,20,8.05,KM,few clouds,2022-03-15 07:24:06
108,Sorland,67.667,12.6934,42.66,83,11,17.27,NO,few clouds,2022-03-15 07:22:15
109,Dingle,10.9995,122.6711,90.01,58,52,10.25,PH,broken clouds,2022-03-15 07:24:06
110,Marathon,44.9,-89.7668,31.24,94,100,0.0,US,fog,2022-03-15 07:24:07
111,Biak,-0.9131,122.8766,83.28,74,100,0.69,ID,overcast clouds,2022-03-15 07:24:07
112,Twin Falls,42.3505,-114.6445,43.14,49,0,0.0,US,clear sky,2022-03-15 07:24:08
113,Smithers,54.7804,-127.1743,39.52,60,100,5.75,CA,overcast clouds,2022-03-15 07:19:57
114,Victoria,22.2855,114.1577,80.94,70,100,8.99,HK,overcast clouds,2022-03-15 07:23:02
115,Nara,34.6851,135.8049,67.37,46,68,10.63,JP,broken clouds,2022-03-15 07:21:20
116,Akyab,20.15,92.9,84.92,38,39,10.56,MM,scattered clouds,2022-03-15 07:24:09
117,Sonoita,31.85,-112.8333,65.75,16,0,4.18,MX,clear sky,2022-03-15 07:24:09
118,Mae Ramat,16.984,98.5166,95.32,33,100,4.59,TH,overcast clouds,2022-03-15 07:24:09
119,East London,-33.0153,27.9116,63.54,77,20,17.27,ZA,few clouds,2022-03-15 07:24:10
120,Vitoria,-20.3194,-40.3378,76.86,92,20,8.05,BR,few clouds,2022-03-15 07:24:10
121,Vagur,61.4732,-6.8119,43.99,91,100,41.2,FO,overcast clouds,2022-03-15 07:24:11
122,Najran,17.4924,44.1277,81.25,20,0,3.11,SA,clear sky,2022-03-15 07:24:11
123,Thinadhoo,0.5333,72.9333,83.68,71,69,8.08,MV,broken clouds,2022-03-15 07:24:11
124,Salinopolis,-0.6136,-47.3561,77.38,91,100,10.02,BR,overcast clouds,2022-03-15 07:24:12
125,Hualmay,-11.0964,-77.6139,72.46,76,84,6.6,PE,broken clouds,2022-03-15 07:24:12
126,Antalaha,-14.9003,50.2788,84.74,66,64,5.91,MG,broken clouds,2022-03-15 07:24:13
127,Hasaki,35.7333,140.8333,64.29,70,0,14.7,JP,clear sky,2022-03-15 07:24:13
128,Pendleton,45.6721,-118.7886,47.61,90,100,5.75,US,light rain,2022-03-15 07:22:43
129,Tucumcari,35.1717,-103.725,35.44,48,0,4.61,US,clear sky,2022-03-15 07:24:14
130,Sompeta,18.9333,84.6,90.9,30,6,10.0,IN,clear sky,2022-03-15 07:24:14
131,Nyurba,63.2842,118.3319,1.72,80,100,4.03,RU,overcast clouds,2022-03-15 07:24:15
132,Busselton,-33.65,115.3333,76.24,54,100,15.17,AU,overcast clouds,2022-03-15 07:24:15
133,Pisco,-13.7,-76.2167,69.85,78,0,5.75,PE,clear sky,2022-03-15 07:24:15
134,Wanning,18.8003,110.3967,81.18,63,50,7.61,CN,scattered clouds,2022-03-15 07:24:16
135,Carnarvon,-24.8667,113.6333,89.67,33,91,17.27,AU,overcast clouds,2022-03-15 07:24:16
136,Iskateley,67.6803,53.1512,12.81,92,77,10.98,RU,broken clouds,2022-03-15 07:24:17
137,Georgetown,5.4112,100.3354,89.53,73,40,10.36,MY,scattered clouds,2022-03-15 07:20:16
138,Ahipara,-35.1667,173.1667,65.39,80,4,7.78,NZ,clear sky,2022-03-15 07:24:17
139,Kidal,18.4411,1.4078,73.06,11,34,16.73,ML,scattered clouds,2022-03-15 07:24:18
140,Chokurdakh,70.6333,147.9167,-3.1,97,100,5.3,RU,overcast clouds,2022-03-15 07:24:18
141,Cabo San Lucas,22.8909,-109.9124,69.51,41,17,6.38,MX,few clouds,2022-03-15 07:24:19
142,Along,28.1667,94.7667,96.44,15,2,2.8,IN,clear sky,2022-03-15 07:24:19
143,Tabas,33.5959,56.9244,80.82,24,75,0.0,IR,broken clouds,2022-03-15 07:24:20
144,Hammerfest,70.6634,23.6821,39.65,70,0,4.61,NO,clear sky,2022-03-15 07:24:20
145,Brigantine,39.4101,-74.3646,43.02,79,0,5.75,US,clear sky,2022-03-15 07:19:43
146,Kawambwa,-9.7915,29.0791,70.65,81,92,0.49,ZM,overcast clouds,2022-03-15 07:24:21
147,Nuuk,64.1835,-51.7216,0.21,85,100,11.5,GL,overcast clouds,2022-03-15 07:24:21
148,Ponta Delgada,37.7333,-25.6667,58.5,88,40,5.75,PT,scattered clouds,2022-03-15 07:24:21
149,Bonthe,7.5264,-12.505,73.22,92,23,4.45,SL,few clouds,2022-03-15 07:24:22
150,Sabla,12.7525,4.7077,77.68,8,26,15.05,NG,scattered clouds,2022-03-15 07:24:22
151,Port Blair,11.6667,92.75,87.84,70,40,9.22,IN,haze,2022-03-15 07:24:22
152,Young,-32.6833,-57.6333,59.13,72,0,4.09,UY,clear sky,2022-03-15 07:24:23
153,Korla,41.7597,86.1469,61.93,24,100,4.9,CN,overcast clouds,2022-03-15 07:24:23
154,Severo-Kurilsk,50.6789,156.125,29.05,86,88,8.03,RU,overcast clouds,2022-03-15 07:24:24
155,Saint Anthony,45.0205,-93.218,31.14,87,0,0.0,US,clear sky,2022-03-15 07:24:24
156,Solnechnyy,50.7214,136.6319,24.73,88,100,5.26,RU,overcast clouds,2022-03-15 07:24:25
157,Kloulklubed,7.0419,134.2556,82.9,75,18,12.57,PW,few clouds,2022-03-15 07:24:25
158,Mut,36.6439,33.4389,35.35,53,9,22.35,TR,clear sky,2022-03-15 07:24:25
